"author" "date" "body"
"34" "anonnyscouse" 2013-05-24 " acertainbang  some stories about the white walkers will have been embellished just like real legends like robin hood have been changed to become more heroic the scary ones have been changed to be scarier im not saying there wont be huge spiders but that could be the reason if theres not "
"35" "ACertainBang" 2013-05-24 " it was a cold night here in oz so i hunkered down with some season 1 winters coming mate when the old septa  is telling bran stories as hes bedbound at winterfell she talks of white walkers and their ice spiders as big as hounds ice spiders as big as hounds granted thats only slightly bigger than they get here but still its been mentioned in the show so surely well get to see some cant imagine they have too much trouble with the wall either being spiders and all "
"36" "ntofr1" 2013-05-23 " thenorthremembers  indeed thats better worded i thought both actorscharacters were superb in these scenes tyrion had a classic line almost every time he opened his mouth "
"37" "TheNorthRemembers" 2013-05-23 " and heres a good nonspoiler link to the pluralistic religious beliefs on the wall that are held by the men of the nights watchhttpimaginationlanenetblogtaggeorgerrmartin the night’s watch assists the worship of any god important to the brother and they take their vows in a location that has meaning to themnight gathers and now my watch begins it shall not end until my death i shall take no wife hold no lands father no children i shall wear no crowns and win no glory i shall live and die at my post i am the sword in the darkness i am the watcher on the walls i am the fire that burns against the cold the light that brings the dawn the horn that wakes the sleepers the shield that guards the realms of men i pledge my life and honour to the night’s watch for this night and all nights to come "
"38" "TheNorthRemembers" 2013-05-23 " heres a link non spoilery to help keep track of all the gods on the tv series george rr martin explains the old gods the new gods the drowned gods and the lord of light executive producers david benioff and db weiss also put in a few words of wisdom httpwwwyoutubecomwatchvdie0q3pgcow of course dany has no gods and neither do the wildlings north of the wall they refuse to bend the knee "
"39" "IntravenousDeMilo" 2013-05-23 " diddleydum  to be fair there is no catholicism in westeros "
"40" "TheNorthRemembers" 2013-05-23 " from wiki in response to a question regarding his own religious views grr martin replied i suppose i’m a lapsed catholic you would consider me an atheist or agnostic i find religion and spirituality fascinating i would like to believe this isn’t the end and there’s something more but i can’t convince the rational part of me that makes any sense whatsoever that’s what tolkien left out — there’s no priesthood there’s no temples nobody is worshipping anything in the rings in a 2011 interview he added none of us entirely escape the values that we’re inoculated with at an early age even if we reject them — like me leaving catholicism on the sex scenes he said one of the reasons i wanted to do this with hbo is that i wanted to keep the sex we had some real problems because dany is only 13 in the books and that’s based on medieval history they didn’t have this concept of adolescence or the teenage years you were a child or you were an adult and the onset of sexual maturity meant you were an adult so i reflected that in the books but then when you go to film it you run into people going crazy about child pornography and there’s actual laws about how you can’t depict a 13 year old having sex even if you have an 18 year old acting the part — it’s illegal in the united kingdom so we ended up with a 22 year old portraying an 18 year old instead of an 18 year old portraying a 13 year old if we decided to lose the sex we could have kept the original ages and once you change the age of one character you have to change the ages of all the characters and change the date of the war that dethroned the mad king the fact we made all these changes indicates how important we thought sex was "
"41" "singist" 2013-05-23 " thecoordinator  true dat im extremely anxious about their handling of it "
"42" "TheNorthRemembers" 2013-05-23 " ntofr1  she shared a smile with him when he told her that today you have to drink and after he raised no objection to the idea that they might never have a child together never mind having a child she was saying they might never consummate the marriage so no sex today thanks very much and maybe sometime never was it her long neck that intimidated him from simple bedsharing i did like his comment and so my watch begins "
"43" "jimmy_mac" 2013-05-23 " ntofr1  i’ve not read any of the books in short my answer to your question is yes melisandre is using stannis and she is using gendry and she is using beric and thoros in my opinion as far as her spiritual devotion goes if she is not misrepresenting the character of the lord of light but is sincere in her service to him then that deity is actually the devil or an evil god of some sort as evidenced by her use of stannis to sire her evil spawn ghost baby that murdered renly i prefer to think that she is practicing black magic and is only using the cover of acting in the name of “the one true god” in order give her evil practices legitimacy but who knows maybe the one true god of the world in which the game of thrones is being played out is evil and melisandre is a devoted disciple i prefer to think not i prefer to think that perhaps ned stark’s old gods which seemed to be more honorable and noble might be better worshipped even beric who has been resurrected from the dead six times apparently in the name of the lord of light has said that there is no “other side” beyond death but only darkness i think he himself may be wondering whether the name “lord of light” is a misnomer thus i see support for the position that melisandre is an actual devotee of a religion albeit in my view one that worships an evil god accordingly while i understand the suggestion that the lord of light may be a complex deity that is both good and bad noble and ignoble virtuous on the one hand murderous on the other i disagree with it a god like that is no god at all to my way of thinking "
"44" "thecoordinator" 2013-05-23 " singist 23 may 2013 1037am get ciffix for firefox theyd better not fuck it up not to be unbearably pretentious or anything but as far as im concerned theyve already fucked it up by putting it on tv some books should just stay books but not jonathan strange and mr norrell "
"45" "Pepa01" 2013-05-23 " ntofr1  i do not believe anything i just highlight the fact that we do not know anything about her so she could be up to anything she could be serving the god of darkness undercover now assuming she serves the lord of light1 serving her god and serving stannis is not the same could be could be not could be only for a while actually stannis does not look healthy and she told gendry that a great future is waiting for him2 she could be using the god as an hypocritical excuse to satisfy more human aspirations3 seems to me that she does not lie she just tell some parts of what she believes is the truth there is a small difference in practice but is a big difference from the point of view of the character 4 if she sees the future but not all the future might be that her conclusions are completely wrong as the ones of those she tells about her visions can be wrong about her intentions4 how danny fits on her plot she is the rightful queen she can not be kill by fire and she has dragons looks like danny must be the most loved person by the lord of light "
"46" "Cariad007" 2013-05-23 " grandcanalman 23 may 2013 1204pm get ciffix for firefox its not perfect richard is a bit too saintly and its clearly written with an american audience in mind but its probably the best wars of the roses historical novel out there "
"47" "ntofr1" 2013-05-23 " duckypoos  an mib style mind erasure would be awesome "
"48" "ntofr1" 2013-05-23 " 5onthe5  the comments dont go cold on this blog till a day or two before the next one so plenty of discussion to be had all week "
"49" "ntofr1" 2013-05-23 " thenorthremembers  we know why sam left his crucial weapon behind when he ran away  because he had just one job to do to kill the other and get gilly the hell out of dodge "
"50" "ntofr1" 2013-05-23 " godis7  she shared a smile with him when he told her that today you have to drink and after he raised no objection to the idea that they might never have a child together i reckon shes prob a bit less worried about her prospects with him who knows given half a chance she might come to love him "
"51" "ntofr1" 2013-05-23 " cariad007  i had a comment about jorah and dany deleted a couple of weeks ago i eventually got it reinstated by the mods after i emailed them i guess we both got reported by people who arent paying attention to the show and have missed or forgotten that what jorah did early on was in the bloody show gah "
"52" "ntofr1" 2013-05-23 " sybarite2006  beeb have huuuge overheads "
"53" "ntofr1" 2013-05-23 " diddleydum  boom "
"54" "ntofr1" 2013-05-23 " jimmymac  pepa01  do you guys think melisandre is using stannis im sure she has her own agenda most of the characters do but i believe in her devotion to the lord of light i think the fact that she and thoros are so different with seemingly different types of magic is more to do with the god they serve a deity i assume to be complex perhaps like a combination of the old and new testament biblical god when melisandre met thoros she spoke of a mission he was given by the high priest i believe they were both given missions but of a very different nature i think their abilities reflect the different types of missions they have "
"55" "ntofr1" 2013-05-23 " thenorthremembers  if thoros works in the nhs perhaps melisandre could work for dignitas or undignitas shadow babies and leaches arent particularly dignified as to the visions i reallyreally really hope it is a snow ball fight stannis saw "
"56" "godis7" 2013-05-23 " sansa must surely come to the realisation that in game of thrones world tyrion is probably the best bet to marry not constantly doing idiotic things to get everyone killed and not a completely evil egotistical maniac a girl to do a lot worse any of the other characters worse hell i would "
"57" "Pepa01" 2013-05-23 " thenorthremembers  melisandre has her own agenda i dont know how accurate her power to predict the future is but seems clear she is only sharing some visions those useful in order to persuade others to do what she wants for all that i know she could be using stannis as a tool only to replace him for someone else more convenient later she is supposed to do whatever it takes to serve her god but because so little has been shown of her she could be a fake she could be using her faith as a tool as well although i believe she is a real fanatic for her own purposes "
